Player,Nation,Position,Age,Matches Played,Minutes,Goals,Assists,Penalty Goals Made,Yellow Cards,Red Cards,Progressive Carries,Progressive Passes,Goals Per 90,Assists Per 90,xG Per 90,xAG Per 90,High_Performer
Fran Beltrán,ESP,MT,25,34,313.0,2,1,0,3,0,28,152,0.07,0.04,0.04,0.07,1
Javi Rodríguez,ESP,DF,21,36,313.0,3,2,0,7,0,29,114,0.11,0.07,0.08,0.04,1
Carl Starfelt,SWE,DF,29,28,313.0,1,0,0,5,0,11,66,0.04,0.0,0.02,0.01,1
Borja Iglesias,ESP,AT,31,37,313.0,11,3,0,2,0,22,28,0.51,0.14,0.43,0.15,1
Ilaix Moriba,GUI,MT,21,33,313.0,1,1,0,9,1,34,119,0.04,0.04,0.07,0.06,1
Sergio Carreira,ESP,"MT,DF",23,23,313.0,0,4,0,1,0,39,53,0.0,0.22,0.03,0.17,0
Hugo Álvarez,ESP,"MT,DF",21,26,313.0,4,3,0,6,0,74,60,0.23,0.17,0.14,0.07,1
Hugo Sotelo,ESP,MT,20,24,313.0,0,0,0,5,0,21,83,0.0,0.0,0.01,0.12,0
Carlos Dominguez,ESP,DF,23,19,313.0,0,0,0,1,0,15,66,0.0,0.0,0.02,0.0,0
Damián Rodríguez,ESP,MT,21,17,927.0,0,0,0,3,0,8,71,0.0,0.0,0.01,0.08,0
Yoel Lago,ESP,DF,20,8,583.0,0,1,0,2,0,1,31,0.0,0.15,0.0,0.02,0
Javier Manquillo,ESP,DF,30,10,515.0,0,0,0,1,0,3,24,0.0,0.0,0.0,0.0,0
Anastasios Douvikas,GRE,AT,24,20,700.0,3,1,0,2,0,6,6,0.39,0.13,0.57,0.03,1
Iván Villar,ESP,GB,27,4,360.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Joseph Aidoo,GHA,DF,28,1,2.0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0
Tadeo Allende,ARG,AT,25,1,2.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0
Florian Lejeune,FRA,DF,33,37,313.0,2,3,0,8,0,21,143,0.05,0.08,0.1,0.05,1
Andrei Ratiu,ROU,DF,26,35,313.0,2,3,0,5,0,122,145,0.06,0.09,0.05,0.17,1
Augusto Batalla,ARG,GB,28,32,313.0,0,0,0,6,0,0,2,0.0,0.0,0.0,0.0,0
Isaac Palazón Camacho,ESP,"MT,AT",29,35,313.0,4,4,0,5,0,30,117,0.17,0.17,0.2,0.18,1
Pathé Ciss,SEN,"MT,DF",30,33,313.0,4,1,0,12,0,19,128,0.17,0.04,0.08,0.05,1
Abdul Mumin,GHA,DF,26,24,313.0,2,1,0,6,1,12,40,0.09,0.04,0.03,0.01,1
Unai López,ESP,MT,28,32,313.0,3,1,0,9,1,22,112,0.16,0.05,0.08,0.05,1
Óscar Valentín,ESP,MT,29,34,313.0,0,0,0,5,0,13,86,0.0,0.0,0.02,0.04,0
Randy Nteka,ANG,AT,26,24,313.0,3,0,0,6,0,10,8,0.24,0.0,0.21,0.04,1
Sergio Camello,ESP,AT,23,23,313.0,3,2,0,2,0,20,27,0.24,0.16,0.32,0.16,1
Pedro Díaz,ESP,MT,26,26,313.0,3,0,0,2,0,27,62,0.22,0.0,0.18,0.16,1
Iván Balliu,ALB,DF,32,25,313.0,0,0,0,3,0,8,46,0.0,0.0,0.0,0.04,0
Aridane Hernández,ESP,DF,35,14,313.0,0,0,0,1,0,2,38,0.0,0.0,0.08,0.0,0
Alfonso Espino,URU,DF,32,16,833.0,0,1,0,4,0,10,39,0.0,0.11,0.05,0.07,0
Gerard Gumbau,ESP,MT,29,22,849.0,0,1,0,4,0,2,41,0.0,0.11,0.11,0.14,0
Dani Cárdenas,ESP,GB,27,6,540.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Óscar Trejo,ARG,MT,36,19,496.0,1,0,0,1,0,15,37,0.18,0.0,0.11,0.18,1
Sergi Guardiola,ESP,AT,33,16,362.0,0,0,0,1,0,2,3,0.0,0.0,0.59,0.03,0
James Rodríguez,COL,"MT,AT",33,6,140.0,0,0,0,1,0,3,13,0.0,0.0,0.19,0.11,0
Pelayo Fernandez,ESP,DF,21,2,98.0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,0
Etienne Eto'o,CMR,AT,21,2,40.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Sergio Herrera,ESP,GB,31,37,313.0,0,0,0,5,0,0,2,0.0,0.0,0.0,0.0,0
Jesús Areso,ESP,DF,25,36,313.0,0,3,0,9,0,101,106,0.0,0.09,0.01,0.1,0
Catena,ESP,DF,29,35,313.0,1,3,0,11,0,9,89,0.03,0.09,0.07,0.07,1
Aimar Oroz,ESP,MT,22,37,313.0,5,4,1,8,0,74,163,0.15,0.12,0.13,0.09,1
Lucas Torró,ESP,MT,30,35,313.0,3,0,0,10,0,10,109,0.09,0.0,0.07,0.04,1
Ante Budimir,CRO,AT,33,38,313.0,21,4,8,4,0,23,24,0.64,0.12,0.56,0.05,1
Enzo Boyomo,CMR,DF,22,34,313.0,2,0,0,5,0,16,111,0.06,0.0,0.05,0.03,1
Jon Moncayola,ESP,MT,26,32,313.0,0,0,0,8,0,25,107,0.0,0.0,0.07,0.16,0
Abel,ESP,DF,23,35,313.0,2,0,0,3,0,50,77,0.09,0.0,0.02,0.05,1
Juan Cruz Armada,ESP,DF,32,25,313.0,0,0,0,4,0,9,53,0.0,0.0,0.01,0.0,0
Jorge Herrando,ESP,DF,23,18,313.0,1,0,0,3,0,7,38,0.07,0.0,0.08,0.0,1
Pablo Ibáñez,ESP,MT,25,28,313.0,1,1,0,4,0,21,51,0.07,0.07,0.11,0.11,1
Moi Gómez,ESP,"MT,AT",30,26,796.0,0,0,0,1,0,13,49,0.0,0.0,0.05,0.08,0
Iker Muñoz,ESP,MT,21,23,610.0,0,1,0,2,0,6,24,0.0,0.15,0.07,0.14,0
Nacho Vidal,ESP,DF,29,5,124.0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0
Aitor Fernández,ESP,GB,33,1,90.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Unai García,ESP,DF,32,3,65.0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,0
Javi Martínez,ESP,MT,24,1,6.0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0
Antonio Raillo,ESP,DF,32,36,313.0,2,0,0,7,1,31,108,0.06,0.0,0.06,0.05,1
Sergi Darder,ESP,"MT,AT",30,38,313.0,2,6,0,4,0,37,142,0.07,0.2,0.07,0.12,1
Dominik Greif,SVK,GB,27,31,313.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0
Martin Valjent,SVK,DF,28,31,313.0,3,0,0,4,0,23,91,0.1,0.0,0.03,0.0,1
Samu Costa,POR,MT,23,32,313.0,0,2,0,10,1,24,116,0.0,0.07,0.06,0.04,0
Johan Mojica,COL,DF,31,36,313.0,1,2,0,5,0,66,130,0.03,0.07,0.03,0.13,1
Pablo Maffeo,ESP,DF,27,30,313.0,0,2,0,7,0,46,74,0.0,0.08,0.01,0.16,0
Dani Rodríguez,ESP,"MT,AT",36,37,313.0,4,7,0,5,0,37,78,0.17,0.29,0.12,0.13,1
Vedat Muriqi,KVX,AT,30,29,313.0,7,2,2,1,2,23,30,0.31,0.09,0.42,0.1,1
Omar Mascarell,EQG,MT,31,32,313.0,1,0,0,5,1,10,75,0.05,0.0,0.02,0.01,1
Cyle Larin,CAN,AT,29,32,313.0,7,2,1,4,0,20,20,0.36,0.1,0.35,0.07,1
Copete,ESP,DF,24,25,313.0,0,0,0,6,0,10,47,0.0,0.0,0.03,0.0,0
Manu Morlanes,ESP,MT,25,23,313.0,0,0,0,7,0,16,88,0.0,0.0,0.04,0.02,0
Roberto Navarro,ESP,"MT,AT",22,23,313.0,1,0,0,3,0,45,51,0.07,0.0,0.14,0.14,1
Antonio Sánchez,ESP,"MT,DF",27,33,313.0,0,0,0,3,0,18,38,0.0,0.0,0.07,0.04,0
Mateu Morey,ESP,DF,24,16,741.0,0,0,0,1,0,17,17,0.0,0.0,0.05,0.03,0
Leo Román,ESP,GB,24,7,630.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Toni Lato,ESP,DF,26,14,621.0,0,0,0,1,1,15,26,0.0,0.0,0.0,0.06,0
David López,ESP,DF,21,2,169.0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,0
Valery Fernández,ESP,"MT,AT",24,18,309.0,2,0,0,1,0,2,5,0.58,0.0,0.24,0.01,1
Chiquinho,POR,"MT,AT",24,8,146.0,0,0,0,2,0,4,1,0.0,0.0,0.19,0.02,0
Javier Llabrés,ESP,AT,21,1,57.0,0,0,0,0,0,3,3,0.0,0.0,0.08,0.14,0
Jan Salas,ESP,"MT,AT",18,4,43.0,0,0,0,0,0,1,4,0.0,0.0,0.12,0.0,0
Daniel Luna,COL,MT,21,2,20.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0
Cristhian Mosquera,ESP,DF,20,37,313.0,1,0,0,6,0,35,123,0.03,0.0,0.01,0.0,1
Diego López,ESP,"MT,AT",22,38,313.0,8,5,0,3,0,76,85,0.26,0.16,0.22,0.17,1
Giorgi Mamardashvili,GEO,GB,23,34,313.0,0,0,0,2,0,1,0,0.0,0.0,0.0,0.0,0
César Tárrega,ESP,DF,22,34,313.0,2,0,0,7,0,20,79,0.06,0.0,0.06,0.0,1
Luis Rioja,ESP,"MT,AT",30,36,313.0,5,3,2,6,0,93,103,0.16,0.1,0.1,0.14,1
Javier Guerra,ESP,MT,21,36,313.0,3,3,0,5,0,50,137,0.1,0.1,0.08,0.11,1
Enzo Barrenechea,ARG,MT,23,30,313.0,1,2,0,6,0,21,126,0.04,0.08,0.05,0.04,1
Dimitri Foulquier,FRA,DF,31,32,313.0,0,1,0,6,0,48,97,0.0,0.04,0.02,0.05,0
Hugo Duro,ESP,AT,24,31,313.0,11,2,1,5,0,13,28,0.46,0.08,0.39,0.05,1
José Luis Gayà,ESP,DF,29,23,313.0,0,1,0,7,0,29,59,0.0,0.05,0.05,0.13,0
Jesus Vazquez,ESP,DF,21,19,919.0,0,0,0,3,0,32,21,0.0,0.0,0.01,0.06,0
Yarek Gasiorowski,ESP,DF,19,15,947.0,0,0,0,1,0,9,38,0.0,0.0,0.11,0.01,0
Umar Sadiq,NGA,AT,27,16,825.0,5,0,0,4,0,9,7,0.55,0.0,0.37,0.08,1
Thierry Correia,POR,DF,25,11,768.0,0,0,0,1,0,16,44,0.0,0.0,0.04,0.04,0
Mouctar Diakhaby,GUI,DF,27,13,653.0,2,0,0,0,0,5,14,0.28,0.0,0.2,0.0,1
Dani Gómez,ESP,AT,26,14,532.0,2,0,0,0,0,3,6,0.34,0.0,0.46,0.01,1
Hugo Guillamón,ESP,MT,24,12,364.0,0,0,0,2,0,0,15,0.0,0.0,0.02,0.01,0
Stole Dimitrievski,MKD,GB,30,4,360.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0
Sergi Canós,ESP,"MT,AT",27,17,370.0,0,1,0,3,0,7,9,0.0,0.24,0.13,0.05,0
Ivan Jaime Pajuelo,ESP,MT,23,9,297.0,0,0,0,0,0,8,15,0.0,0.0,0.19,0.1,0
Germán Valera,ESP,MT,22,8,148.0,0,0,0,0,0,1,2,0.0,0.0,0.08,0.01,0
Maximiliano Caufriez,BEL,DF,27,1,90.0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0
Rodrigo Abajas,ESP,DF,21,1,65.0,0,0,0,1,0,3,2,0.0,0.0,0.1,0.0,0
Martín Tejón,ESP,"MT,DF",20,4,49.0,0,0,0,0,0,0,4,0.0,0.0,0.16,0.05,0
Iker Córdoba,ESP,DF,18,2,15.0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.45,0
David Otorbi,ESP,MT,16,1,14.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0
Alberto Marí,ESP,AT,23,1,7.0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0
David Soria,ESP,GB,31,38,313.0,0,0,0,2,0,0,1,0.0,0.0,0.0,0.0,0
Omar Alderete,PAR,DF,27,34,313.0,1,0,0,8,0,25,112,0.03,0.0,0.05,0.03,1
Iglesias,ESP,DF,26,37,313.0,0,1,0,4,0,32,84,0.0,0.03,0.05,0.07,0
Luis Milla,ESP,MT,29,33,313.0,1,4,1,6,0,32,152,0.03,0.13,0.06,0.12,1
Diego Rico,ESP,DF,31,33,313.0,0,3,0,9,1,27,136,0.0,0.1,0.01,0.09,0
Mauro Arambarri,URU,MT,28,35,313.0,10,0,3,10,0,17,75,0.34,0.0,0.28,0.02,1
Domingos Duarte,POR,DF,29,22,313.0,1,0,0,4,2,3,47,0.05,0.0,0.01,0.0,1
Carles Pérez,ESP,"MT,AT",26,27,313.0,3,0,0,2,0,31,20,0.19,0.0,0.15,0.1,1
Ramón Terrats,ESP,"MT,AT",23,15,313.0,4,1,0,1,0,8,36,0.3,0.07,0.16,0.19,1
Bertuğ Yıldırım,TUR,AT,22,22,313.0,1,0,0,7,0,8,14,0.08,0.0,0.21,0.1,1
Alex Sola,ESP,"MT,AT",25,19,313.0,0,1,0,4,0,24,23,0.0,0.09,0.08,0.06,0
Coba da Costa,ESP,"MT,AT",22,19,313.0,1,1,0,4,0,46,16,0.09,0.09,0.1,0.13,1
Juan Berrocal,ESP,DF,25,19,313.0,0,0,0,8,1,1,25,0.0,0.0,0.03,0.0,0
Juan Bernat,ESP,"MT,DF",31,14,699.0,0,1,0,0,0,2,14,0.0,0.13,0.02,0.09,0
Borja Mayoral,ESP,AT,27,24,313.0,5,1,1,0,0,10,13,0.4,0.08,0.28,0.07,1
Álvaro Rodríguez,URU,AT,20,22,852.0,2,0,0,6,0,6,13,0.21,0.0,0.13,0.03,1
Carles Aleñá,ESP,"MT,AT",26,10,452.0,0,0,0,1,0,3,12,0.0,0.0,0.18,0.02,0
Jesús Santiago,ESP,MT,20,19,372.0,0,0,0,5,0,4,16,0.0,0.0,0.01,0.0,0
Nabil Aberdin,FRA,MT,21,7,263.0,0,0,0,1,0,2,6,0.0,0.0,0.01,0.01,0
Peter González,DOM,"MT,AT",22,17,477.0,0,0,0,1,0,8,6,0.0,0.0,0.24,0.02,0
Ismael Bekhoucha,MAR,"MT,DF",19,5,69.0,0,0,0,2,0,1,1,0.0,0.0,0.0,0.0,0
Alberto Risco,ESP,"MT,AT",18,5,69.0,0,0,0,0,0,3,3,0.0,0.0,0.22,0.19,0
John Joe,IRL,"MT,AT",20,4,48.0,0,0,0,1,0,1,0,0.0,0.0,0.26,0.0,0
David Argüelles,ESP,MT,22,1,7.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0
Joan García,ESP,GB,23,38,313.0,0,0,0,2,0,0,1,0.0,0.0,0.0,0.0,0
Omar El Hilali,MAR,DF,20,36,313.0,0,2,0,11,0,35,84,0.0,0.06,0.0,0.02,0
Marash Kumbulla,ALB,DF,24,35,313.0,3,0,0,9,0,11,71,0.09,0.0,0.05,0.0,1
Leandro Cabrera,URU,DF,33,33,313.0,4,2,0,4,1,9,69,0.13,0.06,0.03,0.03,1
Alex Král,CZE,MT,26,37,313.0,0,1,0,1,0,49,78,0.0,0.03,0.05,0.05,0
Carlos Romero,ESP,DF,22,34,313.0,2,1,0,7,0,50,64,0.07,0.04,0.07,0.07,1
Pol Lozano,ESP,MT,24,30,313.0,0,1,0,12,0,18,115,0.0,0.05,0.01,0.04,0
Jofre,ESP,"MT,AT",23,37,313.0,3,3,0,5,0,65,48,0.12,0.12,0.11,0.1,1
Roberto Férnandez,ESP,AT,22,19,313.0,6,0,0,1,0,7,17,0.36,0.0,0.21,0.04,1
Urko González,ESP,MT,23,17,313.0,0,2,0,2,0,18,62,0.0,0.13,0.04,0.05,0
Álvaro Tejero,ESP,"MT,DF",28,28,313.0,1,4,0,2,0,27,46,0.07,0.29,0.04,0.21,1
Edu Expósito,ESP,MT,27,19,313.0,0,2,0,3,0,23,64,0.0,0.17,0.09,0.27,0
Brian Oliván,ESP,DF,30,17,313.0,0,1,0,2,0,21,40,0.0,0.09,0.03,0.1,0
Alejo Véliz,ARG,AT,20,27,313.0,1,0,0,3,0,2,8,0.08,0.0,0.18,0.04,1
José Gragera,ESP,MT,23,10,569.0,0,0,0,0,0,1,14,0.0,0.0,0.01,0.0,0
Sergi Gómez,ESP,DF,32,12,664.0,0,0,0,1,0,0,8,0.0,0.0,0.04,0.0,0
Walid Cheddira,MAR,AT,26,22,640.0,1,1,0,3,0,8,12,0.14,0.14,0.14,0.17,1
Álvaro Aguado,ESP,MT,28,16,443.0,0,1,0,3,0,15,37,0.0,0.2,0.12,0.12,0
Justin Smith,CAN,MT,21,5,209.0,0,0,0,0,0,4,6,0.0,0.0,0.0,0.02,0
Rafael Bauza,ESP,MT,19,5,183.0,0,0,0,1,0,1,7,0.0,0.0,0.04,0.0,0
Pere Milla,ESP,"MT,AT",31,20,456.0,3,0,0,3,0,9,13,0.59,0.0,0.29,0.06,1
Naci Ünüvar,NED,"MT,DF",21,2,31.0,0,0,0,0,0,1,1,0.0,0.0,0.14,0.09,0
Roger Hinojo,ESP,DF,19,1,9.0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0
Nahuel Tenaglia,ARG,DF,28,34,313.0,2,1,0,11,0,42,103,0.06,0.03,0.07,0.05,1
Antonio Sivera,ESP,GB,27,32,313.0,0,0,0,6,1,0,1,0.0,0.0,0.0,0.0,0
Antonio Blanco,ESP,MT,24,35,313.0,0,1,0,11,1,13,146,0.0,0.03,0.03,0.05,0
Manu Sánchez,ESP,DF,23,33,313.0,1,0,0,6,1,47,78,0.03,0.0,0.06,0.04,1
Kiké,ESP,AT,34,35,313.0,13,0,3,5,1,25,50,0.46,0.0,0.34,0.03,1
Abdel Abqar,MAR,DF,25,29,313.0,0,1,0,13,0,16,79,0.0,0.04,0.03,0.01,0
Jon Guridi,ESP,"MT,AT",29,33,313.0,3,1,1,6,0,27,79,0.13,0.04,0.18,0.05,1
Ander Guevara,ESP,MT,27,33,313.0,0,1,0,3,0,14,112,0.0,0.05,0.04,0.03,0
Moussa Diarra,MLI,DF,23,26,313.0,0,0,0,6,0,12,70,0.0,0.0,0.0,0.01,0
Santiago Mouriño,URU,DF,22,25,313.0,0,1,0,7,0,14,46,0.0,0.05,0.05,0.04,0
Joan Jordán,ESP,MT,30,25,313.0,5,2,3,4,0,7,104,0.32,0.13,0.3,0.15,1
Carles Aleñá,ESP,"MT,AT",26,14,313.0,0,2,0,1,0,18,58,0.0,0.17,0.06,0.11,0
Toni Martínez,ESP,AT,27,28,313.0,4,0,0,1,0,13,11,0.36,0.0,0.32,0.05,1
Facundo Garcés,MAS,DF,24,10,678.0,0,0,0,2,0,3,12,0.0,0.0,0.01,0.11,0
Aleksandar Sedlar,SRB,DF,32,9,594.0,0,0,0,1,1,2,12,0.0,0.0,0.0,0.0,0
Stoichkov,ESP,"MT,AT",30,16,699.0,0,1,0,1,0,9,26,0.0,0.13,0.14,0.15,0
Carlos Benavídez,URU,MT,26,18,487.0,1,1,0,3,0,4,26,0.18,0.18,0.05,0.11,1
Pica,ESP,DF,22,9,499.0,0,0,0,1,0,3,15,0.0,0.0,0.06,0.01,0
Jesús Owono,EQG,GB,23,6,487.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Asier Villalibre,ESP,AT,26,16,333.0,1,1,1,2,0,4,7,0.27,0.27,0.43,0.27,1
Pau Cabanes,ESP,"MT,AT",19,6,188.0,0,0,0,1,0,15,5,0.0,0.0,0.02,0.01,0
Adrian Rodriguez,ESP,GB,23,2,122.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0
Luis Rioja,ESP,AT,30,1,23.0,0,0,0,0,0,4,1,0.0,0.0,0.0,0.57,0
Paulo Gazzaniga,ARG,GB,32,36,313.0,0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0
Daley Blind,NED,DF,34,34,313.0,0,2,0,2,0,71,272,0.0,0.06,0.02,0.05,0
Ladislav Krejčí,CZE,DF,25,28,313.0,2,0,0,9,0,29,144,0.07,0.0,0.06,0.01,1
David López,ESP,DF,34,29,313.0,1,1,0,4,0,17,132,0.04,0.04,0.03,0.02,1
Yangel Herrera,VEN,MT,26,29,313.0,4,3,0,10,1,31,110,0.16,0.12,0.14,0.06,1
Iván Martín,ESP,MT,25,32,313.0,1,1,0,1,0,57,131,0.04,0.04,0.08,0.08,1
Oriol Romeu,ESP,MT,32,25,313.0,0,0,0,5,0,22,73,0.0,0.0,0.01,0.02,0
Abel Ruiz,ESP,AT,24,23,313.0,4,0,1,3,0,21,23,0.27,0.0,0.31,0.03,1
Alejandro Francés,ESP,DF,21,18,313.0,0,0,0,2,0,18,63,0.0,0.0,0.02,0.03,0
Bojan Miovski,MKD,AT,25,17,869.0,2,1,0,0,0,4,4,0.21,0.1,0.28,0.02,1
Arthur Melo,BRA,MT,27,15,941.0,0,0,0,2,0,24,70,0.0,0.0,0.02,0.02,0
Juanpe,ESP,DF,33,12,727.0,0,0,0,2,0,2,26,0.0,0.0,0.01,0.02,0
Cristhian Stuani,URU,AT,37,32,313.0,11,2,3,4,0,2,10,0.92,0.17,0.68,0.05,1
Jhon Solis,COL,MT,19,19,535.0,1,0,0,3,0,9,29,0.17,0.0,0.11,0.01,1
Krapyvtsov Vladyslav,UKR,GB,19,2,180.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Silvi Clúa,ESP,MT,19,4,163.0,0,0,0,0,0,4,3,0.0,0.0,0.02,0.02,0
Papa Ba,ESP,MT,19,1,48.0,0,0,0,0,0,1,0,0.0,0.0,0.06,0.0,0
Pau López,ESP,GB,29,1,45.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Kim Minsu,KOR,"MT,AT",18,3,22.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Ferrán Ruiz,ESP,MT,21,1,18.0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0
Dodi Lukebakio,BEL,AT,26,38,313.0,11,2,1,3,1,131,93,0.32,0.06,0.29,0.13,1
Carmona,ESP,DF,22,35,313.0,0,0,0,11,0,45,109,0.0,0.0,0.02,0.06,0
Loïc Bade,FRA,DF,24,32,313.0,1,1,0,7,1,11,62,0.03,0.03,0.02,0.02,1
Ørjan Nyland,NOR,GB,33,30,313.0,0,0,0,2,0,0,1,0.0,0.0,0.0,0.01,0
Nemanja Gudelj,SRB,"MT,DF",32,31,313.0,1,1,1,6,0,14,64,0.04,0.04,0.06,0.02,1
Adrià Pedrosa,ESP,DF,26,31,313.0,1,1,0,7,0,41,79,0.04,0.04,0.04,0.06,1
Isaac Romero,ESP,AT,24,31,313.0,4,2,0,10,1,21,29,0.17,0.08,0.28,0.09,1
Kike Salas,ESP,DF,22,31,313.0,3,2,0,6,0,7,59,0.12,0.08,0.08,0.02,1
Lucien Agoume,FRA,MT,22,35,313.0,1,3,0,5,1,29,135,0.04,0.13,0.04,0.11,1
Djibril Sow,SUI,MT,27,30,313.0,2,1,0,5,0,23,100,0.09,0.04,0.1,0.07,1
Juanlu Sánchez,ESP,"MT,DF",20,32,313.0,4,4,0,6,1,44,68,0.21,0.21,0.11,0.15,1
Saúl Ñíguez,ESP,MT,29,24,313.0,1,6,0,8,1,13,66,0.06,0.35,0.16,0.14,1
Albert Sambi Lokonga,BEL,MT,24,22,313.0,0,2,0,4,0,24,93,0.0,0.12,0.06,0.06,0
Peque,ESP,"MT,AT",21,26,313.0,1,1,0,1,0,14,35,0.08,0.08,0.2,0.1,1
Chidera Ejuke,NGA,AT,26,25,966.0,2,1,0,0,0,75,38,0.19,0.09,0.1,0.17,1
Álvaro Fernández,ESP,GB,26,9,747.0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.02,0
Marcão,BRA,DF,28,12,552.0,0,0,0,6,1,0,19,0.0,0.0,0.0,0.0,0
Tanguy Nianzou,FRA,DF,22,6,518.0,0,0,0,3,1,4,10,0.0,0.0,0.03,0.0,0
Kelechi Iheanacho,NGA,AT,27,9,400.0,0,0,0,0,0,6,5,0.0,0.0,0.33,0.07,0
Álvaro Pascual,ESP,AT,22,8,408.0,1,0,0,1,0,4,3,0.22,0.0,0.24,0.01,1
Ramón Martínez,ESP,DF,21,5,261.0,1,0,0,0,0,1,5,0.34,0.0,0.12,0.02,1
Lucas Ocampos,ARG,AT,30,2,175.0,0,1,0,0,0,5,7,0.0,0.51,0.08,0.17,0
Manu Bueno,ESP,"MT,AT",20,9,140.0,1,0,0,0,0,2,5,0.64,0.0,0.08,0.0,1
Akor Adams,NGA,AT,24,4,134.0,0,0,0,0,0,0,5,0.0,0.0,0.29,0.0,0
Diego Iturralde,ESP,AT,21,1,37.0,0,0,0,0,0,0,0,0.0,0.0,0.21,0.0,0
Leandro Antonetti,PUR,AT,21,2,28.0,0,0,0,0,0,1,0,0.0,0.0,0.45,0.09,0
Israel Domínguez,ESP,AT,21,1,18.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Mateo Mejía,ESP,AT,21,1,11.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
Darío Fuentes,ESP,DF,21,1,5.0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0
Sergi,ESP,DF,32,36,313.0,2,0,0,2,1,3,77,0.06,0.0,0.05,0.01,1
Marko Dmitrović,SRB,GB,32,32,313.0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.01,0
Seydouba Cissé,GUI,MT,23,34,313.0,3,1,0,3,1,26,110,0.11,0.04,0.11,0.04,1
Valentin Rosier,FRA,DF,27,32,313.0,1,2,0,8,0,41,74,0.03,0.07,0.03,0.04,1
Renato Tapia,PER,"MT,DF",29,34,313.0,1,0,0,8,0,17,83,0.04,0.0,0.02,0.01,1
Javi Hernández,ESP,DF,26,31,313.0,2,1,0,6,0,40,80,0.08,0.04,0.03,0.06,1
Yvan Neyou,CMR,MT,27,30,313.0,1,1,0,14,0,24,96,0.04,0.04,0.03,0.03,1
Matija Nastasić,SRB,DF,31,26,313.0,1,0,0,3,0,1,59,0.04,0.0,0.0,0.01,1
Jorge Sáenz,ESP,DF,27,23,313.0,1,0,0,4,1,5,36,0.05,0.0,0.07,0.01,1
Miguel,ESP,AT,24,34,313.0,1,3,1,3,0,14,16,0.05,0.16,0.26,0.07,1
Darko Brašanac,SRB,MT,32,30,313.0,1,2,0,4,0,6,43,0.06,0.11,0.1,0.02,1
Diego,ESP,AT,24,28,313.0,3,0,0,2,0,9,16,0.23,0.0,0.28,0.02,1
Óscar Rodríguez Arnaiz,ESP,"MT,AT",26,29,313.0,1,4,0,6,1,24,60,0.07,0.27,0.14,0.15,1
Yan Diomandé,CIV,"MT,AT",17,10,545.0,2,1,0,1,0,37,16,0.33,0.17,0.24,0.14,1
Juan Soriano,ESP,GB,26,6,540.0,0,0,0,1,1,0,0,0.0,0.0,0.0,0.0,0
Sébastien Haller,CIV,AT,30,8,404.0,0,0,0,0,0,3,4,0.0,0.0,0.09,0.05,0
Roberto López,ESP,MT,24,13,396.0,0,1,0,0,0,3,20,0.0,0.23,0.11,0.2,0
Julián Chicco,ARG,"MT,DF",26,14,302.0,0,1,0,0,0,8,16,0.0,0.3,0.14,0.05,0
Aritz Arambarri,ESP,DF,26,2,177.0,0,0,0,0,0,0,2,0.0,0.0,0.01,0.0,0
Duk,CPV,"MT,AT",24,10,179.0,0,0,0,1,0,10,3,0.0,0.0,0.01,0.33,0
Borna Barišić,CRO,DF,31,1,9.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
